date,actual,mean,naive,seasonal_naive_daily,seasonal_naive_weekly,drift,sarimax,feature_model
2016-05-13 19:00:00,1250,584.7698036560596,2090,740,760,2090.596004063664,1222.2629451378598,1206.7489
2016-05-13 20:00:00,720,584.7698036560596,2090,600,700,2091.1920081273283,1078.7817050954088,1171.9535
2016-05-13 21:00:00,380,584.7698036560596,2090,430,430,2091.788012190992,754.799659475296,719.3039
2016-05-13 22:00:00,330,584.7698036560596,2090,360,320,2092.384016254656,587.0428965940771,390.67734
2016-05-13 23:00:00,370,584.7698036560596,2090,340,350,2092.9800203183204,517.4455859045825,328.16757
2016-05-14 00:00:00,350,584.7698036560596,2090,330,310,2093.576024381985,442.5718775173698,348.5621
2016-05-14 01:00:00,380,584.7698036560596,2090,320,340,2094.1720284456487,434.5848393461095,331.303
2016-05-14 02:00:00,360,584.7698036560596,2090,350,320,2094.7680325093124,395.5798285718532,354.53403
2016-05-14 03:00:00,360,584.7698036560596,2090,350,330,2095.3640365729766,386.9229132335173,361.31577
2016-05-14 04:00:00,360,584.7698036560596,2090,300,330,2095.9600406366408,367.3589669839197,363.67575
2016-05-14 05:00:00,340,584.7698036560596,2090,350,310,2096.556044700305,425.4731123426551,370.02356
2016-05-14 06:00:00,380,584.7698036560596,2090,880,320,2097.1520487639687,482.0499301743798,443.7146
2016-05-14 07:00:00,680,584.7698036560596,2090,1060,890,2097.748052827633,658.9421389798578,574.5227
2016-05-14 08:00:00,800,584.7698036560596,2090,2030,730,2098.344056891297,758.2300980855082,804.14703
2016-05-14 09:00:00,710,584.7698036560596,2090,560,920,2098.940060954961,659.0172477774082,802.67615
2016-05-14 10:00:00,950,584.7698036560596,2090,440,1070,2099.5360650186253,696.8866436221248,794.4418
2016-05-14 11:00:00,580,584.7698036560596,2090,2130,970,2100.132069082289,725.360401064589,876.414
2016-05-14 12:00:00,700,584.7698036560596,2090,1810,520,2100.728073145953,707.7231496056602,697.4677
2016-05-14 13:00:00,680,584.7698036560596,2090,1610,450,2101.3240772096174,642.2268351301801,719.1934
2016-05-14 14:00:00,640,584.7698036560596,2090,1910,530,2101.920081273281,650.4860742858291,746.6744
2016-05-14 15:00:00,780,584.7698036560596,2090,1210,620,2102.5160853369453,586.4697202365453,685.5977
2016-05-14 16:00:00,670,584.7698036560596,2090,2110,550,2103.1120894006094,797.5316337512047,779.0039
2016-05-14 17:00:00,1450,584.7698036560596,2090,1390,500,2103.7080934642736,1125.459963771737,954.00946
2016-05-14 18:00:00,1000,584.7698036560596,2090,2090,1710,2104.3040975279378,1081.920940531566,1175.7963
2016-05-14 19:00:00,540,584.7698036560596,2090,740,720,2104.900101591602,754.2361379998503,937.51917
2016-05-14 20:00:00,520,584.7698036560596,2090,600,520,2105.4961056552656,698.0492228381911,678.5368
2016-05-14 21:00:00,450,584.7698036560596,2090,430,340,2106.09210971893,470.05299252329263,438.05035
2016-05-14 22:00:00,370,584.7698036560596,2090,360,350,2106.688113782594,412.9830824282724,389.6746
2016-05-14 23:00:00,290,584.7698036560596,2090,340,340,2107.284117846258,362.59501824122856,343.17337
2016-05-15 00:00:00,320,584.7698036560596,2090,330,350,2107.8801219099223,361.6702444288832,318.47498
2016-05-15 01:00:00,330,584.7698036560596,2090,320,310,2108.476125973586,351.3655455532956,316.3913
2016-05-15 02:00:00,310,584.7698036560596,2090,350,330,2109.07213003725,358.7711302168352,325.22986
2016-05-15 03:00:00,240,584.7698036560596,2090,350,340,2109.6681341009144,343.1266906092319,320.422
2016-05-15 04:00:00,310,584.7698036560596,2090,300,300,2110.2641381645785,350.3244108289323,321.53967
2016-05-15 05:00:00,340,584.7698036560596,2090,350,340,2110.8601422282427,404.4071939627975,322.9444
2016-05-15 06:00:00,310,584.7698036560596,2090,880,300,2111.4561462919064,472.578041686652,410.85745
2016-05-15 07:00:00,560,584.7698036560596,2090,1060,360,2112.0521503555706,651.8674035943769,429.73227
2016-05-15 08:00:00,710,584.7698036560596,2090,2030,1100,2112.6481544192347,750.3741605347509,700.7468
2016-05-15 09:00:00,610,584.7698036560596,2090,560,860,2113.244158482899,661.1354289132806,753.0338
2016-05-15 10:00:00,650,584.7698036560596,2090,440,810,2113.8401625465626,688.008336045303,710.99817
2016-05-15 11:00:00,630,584.7698036560596,2090,2130,300,2114.436166610227,733.7827084225938,631.20013
2016-05-15 12:00:00,580,584.7698036560596,2090,1810,340,2115.032170673891,696.9564325642081,652.44666
2016-05-15 13:00:00,820,584.7698036560596,2090,1610,340,2115.628174737555,654.9707497548076,606.5407
2016-05-15 14:00:00,530,584.7698036560596,2090,1910,340,2116.2241788012198,637.918753834608,646.48865
2016-05-15 15:00:00,560,584.7698036560596,2090,1210,300,2116.820182864883,601.9830586569101,679.7473
2016-05-15 16:00:00,860,584.7698036560596,2090,2110,330,2117.416186928547,783.7520935100346,804.39935
2016-05-15 17:00:00,1420,584.7698036560596,2090,1390,340,2118.012190992212,1142.413405566952,1104.4877
2016-05-15 18:00:00,590,584.7698036560596,2090,2090,300,2118.6081950558755,1067.7527559699172,1365.9232
2016-05-15 19:00:00,580,584.7698036560596,2090,740,360,2119.204199119539,771.450013587409,777.8994
2016-05-15 20:00:00,1480,584.7698036560596,2090,600,470,2119.8002031832034,684.3852289487688,589.6805
2016-05-15 21:00:00,1220,584.7698036560596,2090,430,380,2120.396207246868,486.4880688845169,678.02545
